Move Number,Eval,Centipawn Loss,Time Left,Time Spent
4b,-0.5,0.15000000000000002,177,0
5w,-1.15,0.6499999999999999,176,1
5b,-0.63,0.5199999999999999,175,2
6w,-0.53,0,176,0
6b,-0.6,0,174,1
7w,-0.86,0.26,175,1
7b,-0.29,0.5700000000000001,173,1
8w,-0.45,0.16000000000000003,174,1
8b,-0.26,0.19,172,1
9w,-0.44,0.18,173,1
9b,-0.29,0.15000000000000002,172,0
10w,-0.48,0.19,171,2
10b,-0.1,0.38,171,1
11w,-0.13,0.03,169,2
11b,0.08,0.21000000000000002,170,1
12w,-0.02,0.1,167,2
12b,0.23,0.25,165,5
13w,0.07,0.16,162,5
13b,2.11,2.04,163,2
14w,1.7,0.4099999999999999,160,2
14b,1.06,0,161,2
15w,0.0,1.06,157,3
15b,2.35,2.35,160,1
16w,2.32,0.03000000000000025,156,1
16b,6.48,4.16,132,28
17w,3.52,2.9600000000000004,138,18
17b,7.17,3.65,130,2
18w,7.09,0.08000000000000007,137,1
18b,14.88,7.790000000000001,113,17
19w,13.7,1.1800000000000015,131,6
19b,10.0,0,112,1
1w,0.09,0,180,0
1b,0.29,0.19999999999999998,180,0
2w,0.36,0,179,1
2b,0.62,0.26,180,0
3w,0.26,0.36,178,1
3b,0.41,0.14999999999999997,179,1
4w,-0.1,0.51,169,9
4b,0.29,0.39,179,0
5w,-0.23,0.52,165,4
5b,0.31,0.54,176,3
6w,-0.21,0.52,163,2
6b,0.0,0.21,173,3
7w,-0.44,0.44,161,2
7b,0.0,0.44,170,3
8w,0.02,0,151,10
8b,0.1,0.08,164,6
9w,-0.82,0.9199999999999999,147,4
9b,-0.57,0.25,163,1
10w,-0.7,0.13,145,2
10b,-0.64,0.05999999999999994,152,11
11w,-0.65,0.010000000000000009,128,17
11b,-0.37,0.28,148,4
12w,-0.41,0.03999999999999998,127,1
12b,0.3,0.71,145,3
13w,0.0,0.3,121,6
13b,0.0,0,143,2
14w,-0.54,0.54,119,2
14b,-0.45,0.09000000000000002,137,6
15w,-0.55,0.10000000000000003,119,0
